"document","year"
"CMAELR3",1400
"CMAELR4",1450
"CMANCRIW-1",1230
"CMANCRIW-2",1230
"CMASTRO",1391
"CMAYENBI",1340
"CMBENRUL",1425
"CMBOETH",1380
"CMBRUT3",1400
"CMCAPCHR",1464
"CMCAPSER",1452
"CMCLOUD",1372
"CMCTMELI",1390
"CMCTPARS",1390
"CMEARLPS",1350
"CMEDMUND",1438
"CMEDTHOR",1350
"CMEDVERN",1390
"CMEQUATO",1392
"CMFITZJA",1495
"CMGAYTRY",1440
"CMGREGOR",1475
"CMHALI",1225
"CMHILTON",1396
"CMHORSES",1450
"CMINNOCE",1497
"CMJULIA",1225
"CMJULNOR",1400
"CMKATHE",1225
"CMKEMPE",1450
"CMKENTHO",1125
"CMKENTSE",1275
"CMLAMB1",1225
"CMLAMBX1",1225
"CMMALORY",1470
"CMMANDEV",1400
"CMMARGA",1225
"CMMIRK",1415
"CMNTEST",1388
"CMORM",1200
"CMOTEST",1395
"CMPETERB",1150
"CMPOLYCH",1387
"CMPURVEY",1388
"CMREYNAR",1481
"CMREYNES",1485
"CMROLLEP",1450
"CMROLLTR",1440
"CMROYAL",1425
"CMSAWLES",1225
"CMSIEGE",1500
"CMTHORN",1440
"CMTRINIT",1225
"CMVICES1",1200
"CMVICES4",1400
"CMWYCSER",1400
